,date,start_time,team1,team2,team1_score,team2_score,first_half_score
0,2021-06-30,21:15,Serbia,Filipinler,83,76,İY 45-34
1,2021-06-30,19:30,Venezuela,Güney Kore,94,80,İY 56-38
2,2021-06-30,16:30,Angola,Slovenia,68,118,İY 30-64
3,2021-06-30,17:30,Meksika,Russia,72,64,İY 31-36
4,2021-06-30,21:00,Brezilya,Croatia,94,67,İY 45-34
5,2021-06-30,02:05,Greece,Kanada,91,97,İY 50-46
6,2021-06-30,05:35,Uruguay,Turkey,86,95,İY 37-43
7,2021-06-30,03:30,Atlanta,Milwaukee,110,88,İY 51-38
8,2021-06-30,02:00,Dream (K),LIberty (K),73,69,İY 40-34
9,2021-06-30,02:00,Mystics (K),Sun (K),71,90,İY 33-49
10,2021-06-30,09:30,Nelson Giants,W. Saints,74,86,İY 34-35
11,2021-06-30,00:00,Club Atlético Colón,America,83,68,İY 33-41
12,2021-06-30,03:30,Lanus,GELP,84,80,İY 49-42
13,2021-06-29,21:15,Dominik,Serbia,76,94,İY 47-47
14,2021-06-29,19:30,Lithuania,Venezuela,76,65,İY 36-28
15,2021-06-29,16:30,Poland,Angola,83,64,İY 43-31
16,2021-06-29,17:30,Germany,Meksika,82,76,İY 40-42
17,2021-06-29,21:00,Tunus,Brezilya,57,83,İY 31-43
18,2021-06-29,04:00,Phoenix,LA Clippers,102,116,İY 52-59
19,2021-06-29,21:45,Torino,Derthona,74,75,İY 49-49
20,2021-06-28,03:30,Atlanta,Milwaukee,102,113,İY 56-56
21,2021-06-28,01:00,Mercury (K),Sparks (K),88,79,İY 47-43
22,2021-06-28,23:00,Villa Mitre,Parque Sur,84,73,İY 46-38
23,2021-06-28,17:00,Rivadavia,Olavarria,79,70,İY 30-38
24,2021-06-27,04:00,LA Clippers,Phoenix,80,84,İY 36-50
25,2021-06-27,22:00,Fransa K,Sırbistan K,54,63,İY 26-31
26,2021-06-27,19:00,Beyaz Rusya K,Belçika K,69,77,İY 30-40
27,2021-06-27,02:00,Dream (K),LIberty (K),78,101,İY 40-43
28,2021-06-27,21:00,Sun (K),Sky (K),74,58,İY 36-30
29,2021-06-27,23:00,Aces (K),Storm (K),95,92,İY 37-42
30,2021-06-27,08:00,W. Saints,Payroll,119,112,İY 58-49
31,2021-06-27,08:00,O. Nuggets,Auckland Huskies,70,93,İY 40-39
32,2021-06-27,00:00,Santa Rosa,Nautico Sportivo Avellaneda,50,48,İY 23-24
33,2021-06-27,17:00,Independiente,San Isidro,93,88,İY 43-44
34,2021-06-27,17:00,Progreso,Villa Mitre,69,78,İY 34-45
35,2021-06-27,17:00,Quilmes,Juninense,80,77,İY 45-40
36,2021-06-27,21:00,Rivadavia,GELP,75,100,İY 39-44
37,2021-06-27,19:30,Udine,Cuore Napoli,67,77,İY 38-38
38,2021-06-27,22:00,Derthona,Torino,78,77,İY 40-44
39,2021-06-27,20:30,Carnide (K),ESA (K),70,54,İY 29-31
40,2021-06-26,03:30,Milwaukee,Atlanta,125,91,İY 77-45
41,2021-06-26,13:00,İsveç K,B. Hersek (K),63,82,İY 31-55
42,2021-06-26,16:00,İspanya K,Rusya K,74,78,İY 33-30
43,2021-06-26,19:00,Beyaz Rusya K,Fransa K,61,73,İY 30-38
44,2021-06-26,22:00,Sırbistan K,Belçika K,74,73,İY 32-36
45,2021-06-26,14:40,Dijon,Asvel,74,87,İY 33-44
46,2021-06-26,03:00,Lynx (K),Aces (K),90,89,İY 44-48
47,2021-06-26,20:00,Wings (K),Mystics (K),85,74,İY 46-30
48,2021-06-26,10:30,S. Sharks,Auckland Huskies,92,93,
49,2021-06-26,10:30,Payroll,Franklin Bulls,95,90,İY 51-52
