,date,start_time,team1,team2,team1_score,team2_score,first_half_score
0,2021-02-06,13:00,Gaziantep BB,Galatasaray,68,61,İY 36-30
1,2021-02-06,15:15,Türk Telekom Basketbol Kulübü,M.Y. Afyon Bld,89,86,İY 46-59
2,2021-02-06,17:30,Darüşşafaka Spor Kulübü,Pınar Karşıyaka Spor Kulübü,86,77,İY 41-37
3,2021-02-06,20:00,Bahçeşehir Koleji Spor Kulübü,Büyükçekmece,83,74,İY 38-39
4,2021-02-06,14:00,Final Spor,Bornova Belediye Spor Kulübü,83,72,İY 41-31
5,2021-02-06,17:30,Gemlik Basketbol Kulübü,Merkezefendi,47,75,İY 21-37
6,2021-02-06,14:30,Yalova VIP Gençlik Spor Kulübü,İstanbul Üniversitesi Basketbol Kulübü,87,69,İY 42-28
7,2021-02-06,15:00,Edremit Belediyesi Gürespor Kulübü,Antalya 07 (K),91,83,İY 43-43
8,2021-02-06,16:00,Emlak Konut(K),Urla Belediyesi Gençlik Spor Kulübü,57,39,İY 22-26
9,2021-02-06,17:00,Ceyhan Bld.(K),Bursa Büyükşehir Belediyesi Spor Kulübü,60,74,İY 32-36
10,2021-02-06,03:00,Indiana,New Orleans,113,114,İY 48-57
11,2021-02-06,03:00,Orlando,Chicago,123,119,İY 66-56
12,2021-02-06,03:30,Brooklyn,Toronto,117,123,İY 63-67
13,2021-02-06,03:30,Cleveland,Milwaukee,105,123,İY 63-60
14,2021-02-06,04:00,Charlotte,Utah,121,138,İY 54-69
15,2021-02-06,04:00,Miami,Washington,122,95,İY 71-43
16,2021-02-06,04:00,Oklahoma,Minnesota,103,106,İY 55-51
17,2021-02-06,05:00,Phoenix,Detroit,109,92,İY 57-44
18,2021-02-06,06:00,LA Clippers,Boston,115,119,İY 62-51
19,2021-02-06,21:00,New York,Portland,110,99,İY 57-51
20,2021-02-06,19:00,Slovenya K,İzlanda (K),96,59,İY 44-25
21,2021-02-06,22:00,Bulgaristan K,Yunanistan K,55,73,İY 33-37
22,2021-02-06,21:00,İsrail K,Karadağ K,52,78,İY 25-38
23,2021-02-06,14:30,Estonya K,B. Hersek (K),52,78,İY 23-37
24,2021-02-06,17:30,Rusya K,İsviçre K,103,47,İY 49-23
25,2021-02-06,15:00,Danimarka (K),Çekya (K),63,84,İY 32-43
26,2021-02-06,21:00,İtalya K,Romanya (K),81,66,İY 40-35
27,2021-02-06,03:00,Arnavutluk (K),Türkiye K,,,
28,2021-02-06,18:00,Sırbistan K,Litvanya K,96,61,İY 60-33
29,2021-02-06,14:30,Polonya K,Beyaz Rusya K,49,80,İY 29-43
30,2021-02-06,18:00,Finlandiya K,Ukrayna K,75,91,İY 34-52
31,2021-02-06,21:00,Belçika K,Portekiz K,69,66,İY 36-35
32,2021-02-06,19:30,Hollanda K,Slovakya K,50,61,İY 21-29
