,date,start_time,team1,team2,team1_score,team2_score,first_half_score,month
0,2021-06-30,21:15,Serbia,Filipinler,83.0,76.0,İY 45-34,6
1,2021-06-30,16:30,Angola,Slovenia,68.0,118.0,İY 30-64,6
2,2021-06-30,17:30,Meksika,Russia,72.0,64.0,İY 31-36,6
3,2021-06-30,21:00,Brezilya,Croatia,94.0,67.0,İY 45-34,6
4,2021-06-30,02:05,Greece,Kanada,91.0,97.0,İY 50-46,6
5,2021-06-30,05:35,Uruguay,Turkey,86.0,95.0,İY 37-43,6
6,2021-06-30,03:30,Atlanta,Milwaukee,110.0,88.0,İY 51-38,6
7,2021-06-30,02:00,Dream (K),LIberty (K),73.0,69.0,İY 40-34,6
8,2021-06-30,02:00,Mystics (K),Sun (K),71.0,90.0,İY 33-49,6
9,2021-06-30,09:30,Nelson Giants,W. Saints,74.0,86.0,İY 34-35,6
10,2021-06-30,00:00,Club Atlético Colón,America,83.0,68.0,İY 33-41,6
11,2021-06-30,03:30,Lanus,GELP,84.0,80.0,İY 49-42,6
12,2021-06-30,19:30,Venezuela,Güney Kore,94.0,80.0,İY 56-38,6
13,2021-06-29,21:00,Tunus,Brezilya,57.0,83.0,İY 31-43,6
14,2021-06-29,21:45,Torino,Derthona,74.0,75.0,İY 49-49,6
15,2021-06-29,04:00,Phoenix,LA Clippers,102.0,116.0,İY 52-59,6
16,2021-06-29,17:30,Germany,Meksika,82.0,76.0,İY 40-42,6
17,2021-06-29,16:30,Poland,Angola,83.0,64.0,İY 43-31,6
18,2021-06-29,19:30,Lithuania,Venezuela,76.0,65.0,İY 36-28,6
19,2021-06-29,21:15,Dominik,Serbia,76.0,94.0,İY 47-47,6
20,2021-06-28,03:30,Atlanta,Milwaukee,102.0,113.0,İY 56-56,6
21,2021-06-28,01:00,Mercury (K),Sparks (K),88.0,79.0,İY 47-43,6
22,2021-06-28,23:00,Villa Mitre,Parque Sur,84.0,73.0,İY 46-38,6
23,2021-06-28,17:00,Rivadavia,Olavarria,79.0,70.0,İY 30-38,6
24,2021-06-27,00:00,Santa Rosa,Nautico Sportivo Avellaneda,50.0,48.0,İY 23-24,6
25,2021-06-27,20:30,Carnide (K),ESA (K),70.0,54.0,İY 29-31,6
26,2021-06-27,22:00,Derthona,Torino,78.0,77.0,İY 40-44,6
27,2021-06-27,19:30,Udine,Cuore Napoli,67.0,77.0,İY 38-38,6
28,2021-06-27,21:00,Rivadavia,GELP,75.0,100.0,İY 39-44,6
29,2021-06-27,17:00,Quilmes,Juninense,80.0,77.0,İY 45-40,6
30,2021-06-27,17:00,Progreso,Villa Mitre,69.0,78.0,İY 34-45,6
31,2021-06-27,17:00,Independiente,San Isidro,93.0,88.0,İY 43-44,6
32,2021-06-27,04:00,LA Clippers,Phoenix,80.0,84.0,İY 36-50,6
33,2021-06-27,08:00,O. Nuggets,Auckland Huskies,70.0,93.0,İY 40-39,6
34,2021-06-27,08:00,W. Saints,Payroll,119.0,112.0,İY 58-49,6
35,2021-06-27,23:00,Aces (K),Storm (K),95.0,92.0,İY 37-42,6
36,2021-06-27,21:00,Sun (K),Sky (K),74.0,58.0,İY 36-30,6
37,2021-06-27,02:00,Dream (K),LIberty (K),78.0,101.0,İY 40-43,6
38,2021-06-27,19:00,Beyaz Rusya K,Belçika K,69.0,77.0,İY 30-40,6
39,2021-06-27,22:00,Fransa K,Sırbistan K,54.0,63.0,İY 26-31,6
40,2021-06-26,10:30,Manawatu,Canterbury Rams,92.0,85.0,İY 45-52,6
41,2021-06-26,20:30,Carnide (K),ESA (K),69.0,60.0,İY 36-28,6
42,2021-06-26,01:00,Paulistano,Sorocabana,53.0,60.0,İY 33-32,6
43,2021-06-26,23:00,FR/Semelp Pindamonhangaba,Pro-Esporte (K,51.0,72.0,İY 15-39,6
44,2021-06-26,01:00,Olavarria,Lanus,76.0,73.0,İY 34-36,6
45,2021-06-26,01:00,Villa Mitre,Concordia,57.0,82.0,İY 21-27,6
46,2021-06-26,00:00,Barrio Parque,Club Atlético Colón,65.0,69.0,İY 35-34,6
47,2021-06-26,23:00,Wilde Sporting Club,Club Atlético Lanús,63.0,73.0,İY 32-43,6
48,2021-06-26,03:00,Lynx (K),Aces (K),90.0,89.0,İY 44-48,6
49,2021-06-26,10:30,Payroll,Franklin Bulls,95.0,90.0,İY 51-52,6
